time,x,y,vx,vy,heading,object_type,label
0,5038.62975488572,2478.221360378689,3.659006230482497,1.2047958843389042,0.3175104981147371,vehicle,3135
1,5038.832929221127,2478.2913861332568,3.659063748686896,1.2048170619040746,0.31686623128767116,vehicle,3135
2,5039.090775539982,2478.3795811835143,3.7371282198583735,1.2335758414783042,0.31581229851814796,vehicle,3135
3,5039.403687230291,2478.4856779061915,3.8741253215441684,1.2869519802446638,0.3150523386174723,vehicle,3135
4,5039.772094839482,2478.6089200330566,4.051774375953081,1.3341160619452526,0.31462149325243666,vehicle,3135
5,5040.190917926704,2478.7501121614373,4.247365645451584,1.3948670741474498,0.3141445130443862,vehicle,3135
6,5040.651157832597,2478.905597216782,4.450739418079545,1.4608826715343486,0.3122168236112171,vehicle,3135
7,5041.143400895487,2479.072359238685,4.607061861631156,1.4957445623423753,0.3098863908581617,vehicle,3135
8,5041.659825642303,2479.246505356852,4.7461925508520135,1.5291981888726025,0.3072797171311647,vehicle,3135
9,5042.189988727709,2479.4223866411967,4.863004566621842,1.5567695583687855,0.30425714391850106,vehicle,3135
10,5042.719667438128,2479.5953339321172,4.976879650492469,1.5807795136850193,0.29989245888540145,vehicle,3135
11,5043.230797404038,2479.7611147471634,5.087891866317005,1.6127644444614595,0.29371238817144085,vehicle,3135
12,5043.754988767462,2479.924934567811,5.203046327781387,1.6291491486821443,0.2861931033947511,vehicle,3135
13,5044.292401114671,2480.0870502938114,5.322488215533766,1.6206158556846506,0.27800139022290665,vehicle,3135
14,5044.843049990582,2480.2468811289286,5.442195673131523,1.5798630211665474,0.26907170980540474,vehicle,3135
15,5045.41050363046,2480.401220935668,5.555429071131748,1.5578522873816072,0.26014089460526424,vehicle,3135
16,5045.991643313182,2480.5500303764766,5.705923546627994,1.5351813608938094,0.2513344645675746,vehicle,3135
17,5046.588105361956,2480.6960670990284,5.84515598958761,1.4928394663725744,0.24050448582056183,vehicle,3135
18,5047.197778510019,2480.8377044904514,5.982141057025504,1.4360536375803257,0.22944864169832735,vehicle,3135
19,5047.822128291586,2480.973089735219,6.112471854584027,1.3874099911379707,0.21842546145843764,vehicle,3135
20,5048.458707823454,2481.1009417424984,6.305364229624427,1.332976162011472,0.20760712520760755,vehicle,3135
21,5049.110611734263,2481.2212462892367,6.401459505377695,1.3297607479954163,0.19777151857405983,vehicle,3135
22,5049.779615738198,2481.3365391906245,6.491295378321358,1.322685039577093,0.18774025067699138,vehicle,3135
23,5050.4641047229225,2481.4473866450985,6.558285821781774,1.2943533409664965,0.17812933676970846,vehicle,3135
24,5051.157559399177,2481.5528514412817,6.625519851770049,1.2658615223495993,0.16852100943217418,vehicle,3135
25,5051.8643502144305,2481.653386079569,6.805543491083459,1.1715706022081984,0.15979544074794194,vehicle,3135
26,5052.587101328876,2481.747234774248,6.962177989180965,1.1098483369973229,0.15098355917015965,vehicle,3135
27,5053.322874317277,2481.8336339225707,7.096657138906415,1.0315427723221835,0.1413198233400047,vehicle,3135
28,5054.071125338168,2481.912543879833,7.279398177831833,0.9756463146202837,0.13010355963278722,vehicle,3135
29,5054.8298068392505,2481.983779309925,7.374218951474189,0.9528939462308031,0.11693032266821202,vehicle,3135
30,5055.599734389146,2482.040895020169,7.469359065550341,0.9300883386508195,0.10249661728503053,vehicle,3135
31,5056.385540318668,2482.0872321575316,7.6490866376182005,0.8931102525160002,0.08914757738648471,vehicle,3135
32,5057.185703803052,2482.1224909623015,7.8073896844294275,0.8206631002477215,0.07692638623499011,vehicle,3135
33,5057.995722250885,2482.146430894959,8.041035590505137,0.627362384203436,0.06473471772726354,vehicle,3135
34,5058.814828970075,2482.161251860288,8.096951936738481,0.5567320640933798,0.052199291846523534,vehicle,3135
35,5059.6497890793835,2482.172335768637,8.152527522410441,0.48633766840088727,0.039132140109670095,vehicle,3135
36,5060.4937820667055,2482.1751369659405,8.267696698516092,0.37589612321956034,0.027206836996177135,vehicle,3135
37,5061.346498085832,2482.1682782921607,8.38291894533938,0.265434766500917,0.015872436491476644,vehicle,3135
38,5062.203760418093,2482.151415736653,8.51391073052084,0.14907792171261358,0.0061167831689112944,vehicle,3135
39,5063.072542277274,2482.128886840407,8.664702606772485,0.01915931078545316,-0.002564640049332557,vehicle,3135
40,5063.953756392387,2482.1013988478267,8.698364246274563,-0.01451816531816991,-0.011340560581830014,vehicle,3135
41,5064.845541765473,2482.0656262894554,8.732072933066624,-0.048205383190165166,-0.019450225630809184,vehicle,3135
42,5065.7422182517375,2482.0228643811847,8.818532108461685,-0.11188259816483521,-0.028446929242573492,vehicle,3135
43,5066.644553828906,2481.9693809473874,8.965087731994991,-0.235017244514186,-0.03860869139779289,vehicle,3135
44,5067.55642088088,2481.9018685422716,9.05417238604893,-0.3310985279896222,-0.04891436608980008,vehicle,3135
45,5068.474439367443,2481.818213160883,9.09444276168412,-0.37913616816983914,-0.060057968513820024,vehicle,3135
46,5069.3947853417085,2481.721339037108,9.134843242146397,-0.4276754604114044,-0.07327116181937929,vehicle,3135
47,5070.321321327304,2481.6056612669777,9.198087287090285,-0.5646713679241671,-0.08856106934317329,vehicle,3135
48,5071.253983333555,2481.467852182353,9.278390573136488,-0.8688232392300074,-0.10480902661988246,vehicle,3135
49,5072.190073800873,2481.3127334125847,9.301781330154629,-0.9531045224656779,-0.12073760297410979,vehicle,3135
0,5025.940997430422,2473.775176553594,0.027669187124953427,0.01555908472288324,0.34876126814692643,vehicle,3886
1,5025.974179031503,2473.7878217738685,0.02771186926023481,0.015581774749825883,0.34834302544850554,vehicle,3886
2,5026.012823032936,2473.8015305298213,0.08592275905209416,0.046378127231994595,0.34813597873451896,vehicle,3886
3,5026.057049779443,2473.815715725178,0.23984259024482027,0.10071264660220412,0.3479922479739312,vehicle,3886
4,5026.1119763363695,2473.832298028091,0.4819098511938641,0.19403202901312852,0.34789114488321493,vehicle,3886
5,5026.178531463475,2473.8541197876248,0.7084120948437342,0.27600658857889304,0.3476679711590455,vehicle,3886
6,5026.258958330335,2473.8803604973,0.9000090733179821,0.3367477152216694,0.34748105855355166,vehicle,3886
7,5026.354088796944,2473.912562126211,1.055336076905391,0.38746845822284437,0.3471577625709833,vehicle,3886
8,5026.464655048287,2473.948496785045,1.1959174289248373,0.43431516254680624,0.3469638143222843,vehicle,3886
9,5026.5916202605995,2473.989044653385,1.1890166967205509,0.4267560450424313,0.3467831551187626,vehicle,3886
10,5026.734699646986,2474.0341032887077,1.209253207608046,0.4179574362675011,0.3466284791417693,vehicle,3886
11,5026.895833026376,2474.0845633069857,1.2588725740001985,0.4283788748399868,0.3464968388081842,vehicle,3886
12,5027.077929963041,2474.140767088199,1.3796356964566148,0.47610092159821804,0.34660263938180236,vehicle,3886
13,5027.297121705111,2474.2134974428236,1.576938245135678,0.5548178392669285,0.34652664857592713,vehicle,3886
14,5027.546015315616,2474.295602497051,1.867546778449934,0.6784650095473538,0.34610898730313616,vehicle,3886
15,5027.819462942509,2474.387147956982,2.1300621640710333,0.762432471604699,0.3454213197109826,vehicle,3886
16,5028.119370079193,2474.486210751302,2.385434199754295,0.8490135279472445,0.34470670324674985,vehicle,3886
17,5028.444515027892,2474.5909329787582,2.644087607015657,0.9422731590434904,0.34418390065292376,vehicle,3886
18,5028.788369369447,2474.7012770738993,2.914750101333439,1.042212678017114,0.34333245524263467,vehicle,3886
19,5029.141268727039,2474.812429978091,3.1011559915039624,1.1041134093887688,0.3417993219516822,vehicle,3886
20,5029.51102494734,2474.9272621994655,3.288733636660605,1.1664670687273964,0.340376533864068,vehicle,3886
